Pregunta,Respuesta
¿Qué tipo de convocatorias se establecen en este capítulo?,"Las convocatorias para la designación por Concurso de Profesores Ordinarios titulares, asociados y adjuntos."
¿Quién propone al Consejo Superior la provisión de cargos de profesores por concurso?,Cada Unidad Académica mediante Resolución del Consejo Directivo.
¿Qué información debe especificar la Unidad Académica al proponer la provisión de cargos?,"a) Las cátedras, áreas, núcleos, asignaturas que integran los núcleos, disciplinas, laboratorio a concursar. b) La categoría. c) La dedicación. d) Si la imputación presupuestaria correspondiente al cargo está afectada a la partida Gastos de Personal."
¿Cuál es el plazo que tiene el Consejo Superior para resolver sobre la solicitud de llamado a concurso?,Treinta (30) días de recibida.
¿Pueden las Unidades Académicas realizar concursos conjuntamente con otras Unidades Académicas de la Universidad?,"Sí, mediante resolución de sus Consejos Directivos."
¿Quién se encarga de la difusión del llamado a concurso?,El Rectorado.
¿Qué medios de difusión deben utilizarse para publicar el llamado a concurso?,"Un aviso en un diario de circulación nacional y por tres (3) días en un diario de la localidad sede y subsede de la Unidad Académica respectiva. En localidades con tirada de diarios de frecuencia semanal, basta con una sola publicación."
¿Qué debe incluir el contenido de los anuncios de los llamados a concurso?,"- Los cargos y función a concursar, la categoría y la dedicación, explicitando que el concursante puede ofrecer una dedicación distinta. - La fecha de apertura y cierre de la inscripción. - El lugar y dependencia habilitada para recibir las inscripciones y proporcionar información."
¿Qué condiciones debe reunir un aspirante para presentarse a concurso?,a) Tener título universitario de grado o acreditar antecedentes excepcionales. b) No estar comprendido en las causales de inhabilitación para el desempeño de cargos públicos y faltas a la ética universitaria.
¿Cuál es el plazo de inscripción en los llamados a concurso?,"Veinte (20) días, considerando como fecha de iniciación el día que el Decano establezca en resolución dentro de los tres (3) días de aprobado el llamado."
¿Dónde se realizan las inscripciones para el concurso?,En la Mesa de Entradas de cada Facultad.
¿Qué carácter tienen las solicitudes de inscripción?,Declaración Jurada.
¿Cuántas copias deben presentarse junto con el original de la solicitud de inscripción?,Cinco (5) copias y en soporte digital.
¿Qué debe incluir la solicitud de inscripción?,"Información básica del aspirante, títulos universitarios y no universitarios, antecedentes docentes y no docentes, publicaciones, otros antecedentes relacionados con la especialidad, participación en congresos, distinciones, una síntesis de aportes originales y de la actuación profesional, entre otros."
¿Qué documentación deben adjuntar los aspirantes?,"Documentación probatoria que acredite títulos y antecedentes invocados, en original o copia autenticada."
¿Cuál es el plazo para completar la documentación probatoria si no se puede adjuntar al momento de la presentación?,Seis (6) días después de vencido el plazo de inscripción.
¿Qué deben presentar los aspirantes junto con la solicitud de inscripción según la modalidad de la convocatoria?,Un trabajo de Planeamiento de Cátedra.
¿Qué sucede con las presentaciones que no se ajusten a los requisitos formales o que se reciban fuera de término?,Serán devueltas sin más trámites por el responsable de Mesa de Entradas.
¿Qué derecho tiene el aspirante si el jurado no se constituye dentro de tres (3) meses del cierre de la inscripción?,Ampliar sus antecedentes hasta que el jurado se constituya.
¿Pueden los aspirantes inscribirse y tramitar el concurso mediante apoderados?,"Sí, mediante poder otorgado por escribano público debidamente legalizado o de acuerdo a la ley 7060."
¿Qué sucede si el aspirante se presenta a más de un concurso?,"Debe cumplir con todos los requisitos establecidos para cada uno de ellos, sin poder remitirse a escritos o documentos presentados en otros concursos."
¿Qué se labra en la fecha y hora de vencimiento del plazo de inscripción?,"Un acta donde constan las inscripciones realizadas, refrendada por dos funcionarios de mayor jerarquía."
¿Qué dispone el Decano dentro de las cuarenta y ocho (48) horas de la fecha de cierre de la inscripción?,"La exhibición de la nómina de aspirantes en las carteleras murales, la difusión en la página electrónica y otros medios, y la elevación de la nómina a Rectorado."
¿Quiénes pueden ejercer el derecho de impugnar la participación de los aspirantes inscriptos?,"Docentes de la UADER o de otras Universidades Nacionales o Provinciales, aspirantes, asociaciones de estudiantes y graduados reconocidas, y asociaciones científicas y profesionales."
¿En qué se puede fundar la impugnación de los aspirantes?,"En condenas por delitos dolosos, delitos contra la Administración Pública, delitos contra el orden constitucional, inhabilitación por sentencia judicial para el ejercicio de cargos públicos, exoneración, procesos penales pendientes, aprovechamiento de labor intelectual ajena, y conductas contrarias a los principios democráticos y éticos."
¿Qué sucede al interponerse una impugnación?,Suspende el trámite del concurso hasta que recaiga resolución definitiva en el ámbito de la Universidad.
¿Qué plazo tiene el aspirante objetado para formular su descargo?,Cinco (5) días de comunicada la objeción.
¿Quién excluye del concurso al aspirante objetado si existen pruebas en su contra?,"El Consejo Directivo, mediante resolución basada en la objeción y otros antecedentes documentados."
¿Cuál es el plazo para dictar la resolución sobre la objeción?,Cinco (5) días siguientes de recibido el descargo o de vencido el plazo para presentarlo.
¿Qué pueden hacer las partes dentro de los cinco (5) días de recibida la notificación de la resolución sobre la objeción?,Apelar ante el Consejo Superior.
¿Qué sucede si la resolución definitiva acoge la objeción invocada?,El aspirante será eliminado de la nómina respectiva.
¿Quién designa a los integrantes del jurado?,"El Consejo Directivo de la Facultad, a propuesta del Decano de la Unidad Académica respectiva."
¿Qué debe contener la propuesta del Decano para la designación del jurado?,Mención sintetizada de sus antecedentes.
¿En qué plazo debe efectuarse la propuesta de designación del jurado?,Dentro de los ocho (8) días de cerrada la inscripción.
